,q_1,q_2,q_3,q_4,q_5,q_6,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25,q_7,q_8
21,Si,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Mistica,In età adolescenziale,Essere considerata un'importante ma personale visione del mondo,2,2,Sono diverse con aspetti comuni,Ho una fede religiosa ma non sono praticante,4,3,Si,2,2,Non saprei,Sono concetti differenti a volte sovrapposti,Dipende,Femminile,18-30,Diploma scuola superiore,Nord Italia,"['Blog specializzati', ' Studio autonomamente testi del settore']",['Pochi intimi (una persona di fiducia)']
22,Solo il sole (il segno),Sono due cose diverse,Mai,Non hanno nessuna funzione,Non hanno nessuna funzione,Mai,Essere trascurata in quanto inutile (a volte dannosa),1,1,Sono diverse,Non credo in nulla,1,5,Si,1,1,Impotente,Non saprei,Non saprei,Maschile,18-30,Laurea Triennale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
23,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Ricreativa,Introspettiva,Mai,Essere considerata come uno svago,1,1,Sono diverse,Ho una fede religiosa e sono praticante,1,3,Si,2,4,Non saprei,Sono concetti differenti a volte sovrapposti,Dipende,Femminile,18-30,Laurea Triennale,Nord Italia,['Nessuna'],"['La mia famiglia', ' Le mie amiche']"
24,Si,Condividono aspetti ma non sono la stessa cosa,Mai,Predittiva del futuro,Mistica,Mai,Essere considerata come uno svago,1,1,Sono diverse,Ho una fede religiosa ma non sono praticante,3,5,No,1,1,Mi è indifferente,Sono due concetti differenti,A volte,Femminile,18-30,Diploma scuola superiore,Nord Italia,"['Social network', ' Giornali']",['Non ho una passione per le stelle']
25,No,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Non hanno nessuna funzione,Non hanno nessuna funzione,Mai,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse,Ho una fede religiosa e sono praticante,3,3,Si,3,3,Mi è indifferente,Non saprei,Non saprei,Femminile,31-50,Laurea Triennale,Nord Italia,['Nessuna'],['Nessuno']
26,Sole e ascendente,Sono due cose diverse,Quando mi capita,Introspettiva,Ricreativa,In età adolescenziale,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse,Ho una fede religiosa ma non sono praticante,2,3,Si,2,2,Impotente,Sono due concetti differenti,A volte,Femminile,18-30,Laurea magistrale,Nord Italia,['Social network'],['Le mie amiche']
27,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Mistica,Introspettiva,In età adolescenziale,Essere considerata un'importante ma personale visione del mondo,1,1,Sono diverse con aspetti comuni,Non credo in nulla,3,3,Si,2,3,Non saprei,Sono concetti differenti a volte sovrapposti,A volte,Femminile,18-30,Diploma scuola superiore,Nord Italia,['Blog specializzati'],['Le mie amiche']
28,Solo il sole (il segno),Sono due cose diverse,Mai,Ricreativa,Mistica,Fin da piccolo/a,Essere considerata come uno svago,1,1,Sono diverse,Non credo in nulla,5,3,Si,1,1,Impotente,Sono due concetti differenti,A volte,Maschile,18-30,Diploma scuola superiore,Nord Italia,['Studio autonomamente testi del settore'],['Pochi intimi (una persona di fiducia)']
29,No,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Non hanno nessuna funzione,Mistica,Mai,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Non credo in nulla,2,5,Si,2,2,Mi è indifferente,Sono concetti differenti a volte sovrapposti,A volte,Maschile,18-30,Diploma scuola superiore,Nord Italia,['Social network'],['Non ho una passione per le stelle']
30,Si,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Mistica,In età adolescenziale,Essere considerata un'importante ma personale visione del mondo,3,2,Sono diverse con aspetti comuni,Credo in una o più entità superiore/i,3,3,Si,1,2,Impotente,Sono concetti differenti a volte sovrapposti,Dipende,Femminile,18-30,Laurea Triennale,Nord Italia,['Studio autonomamente testi del settore'],['Pochi intimi (una persona di fiducia)']
31,No,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Mistica,Mai,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa ma non sono praticante,3,4,Si,5,5,Più sicuro,Sono concetti differenti a volte sovrapposti,No,Femminile,18-30,Laurea magistrale,Nord Italia,['Nessuna'],['Nessuno']
32,Sole e ascendente,Sono due cose diverse,Quando mi capita,Introspettiva,Mistica,In età adolescenziale,Essere considerata come un punto di vista da tenere in considerazione,2,1,Sono diverse,Non credo in nulla,2,4,Si,1,1,Impotente,Sono due concetti differenti,Non saprei,Femminile,18-30,Laurea Triennale,Nord Italia,"['Blog specializzati', ' Social network']",['Le mie amiche']
33,Sole e ascendente,Sono la stessa cosa,Quando mi capita,Mistica,Introspettiva,Mai,Essere considerata come un punto di vista da tenere in considerazione,2,1,Sono diverse,Ho una fede religiosa e sono praticante,2,5,Si,5,5,Più sicuro,Sono due concetti differenti,No,Femminile,18-30,Laurea Triennale,Nord Italia,['Giornali'],"['La mia famiglia', ' Le mie amiche']"
34,No,Non saprei,Mai,Non hanno nessuna funzione,Non hanno nessuna funzione,Mai,Essere trascurata in quanto inutile (a volte dannosa),1,1,Non saprei,Non credo in nulla,1,3,Non saprei,2,4,Non saprei,Sono due concetti differenti,No,Maschile,18-30,Laurea magistrale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
35,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Mai,Ricreativa,Mistica,Mai,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Non credo in nulla,1,4,Si,4,2,Più sicuro,Sono concetti differenti a volte sovrapposti,No,Femminile,18-30,Laurea magistrale,Nord Italia,['Social network'],['Non ho una passione per le stelle']
36,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Ricreativa,Mistica,In età adulta,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse con aspetti comuni,Credo in una o più entità superiore/i,2,4,Si,4,4,Più sicuro,Sono concetti differenti a volte sovrapposti,A volte,Femminile,18-30,Diploma scuola superiore,Nord Italia,"['Blog specializzati', ' Social network']",['Pochi intimi (una persona di fiducia)']
37,Si,Condividono aspetti ma non sono la stessa cosa,Spesso,Ricreativa,Introspettiva,In età adolescenziale,Essere considerata un'importante ma personale visione del mondo,3,1,Sono diverse,Ho una fede religiosa ma non sono praticante,2,2,Si,2,2,Non saprei,Sono concetti differenti a volte sovrapposti,Dipende,Femminile,18-30,Diploma scuola superiore,Sud e Isole,['Blog specializzati'],['Le mie amiche']
38,No,Non saprei,Quando mi capita,Predittiva del futuro,Introspettiva,In età adolescenziale,Essere considerata come uno svago,1,1,Sono diverse,Ho una fede religiosa ma non sono praticante,2,3,Si,2,2,Impotente,Sono due concetti differenti,No,Femminile,18-30,Laurea Triennale,Nord Italia,['Giornali'],['Non ho una passione per le stelle']
39,No,Sono la stessa cosa,Quando mi capita,Predittiva del futuro,Mistica,Mai,Essere trascurata in quanto inutile (a volte dannosa),1,1,Sono diverse con aspetti comuni,Ho una fede religiosa ma non sono praticante,1,5,Si,1,1,Impotente,Sono concetti differenti a volte sovrapposti,Non saprei,Maschile,18-30,Laurea Triennale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
40,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Mai,Introspettiva,Non hanno nessuna funzione,Mai,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa ma non sono praticante,1,4,Si,2,1,Impotente,Sono concetti differenti a volte sovrapposti,No,Femminile,18-30,Diploma scuole medie,Nord Italia,"['Social network', ' Giornali']",['Non ho una passione per le stelle']
41,No,Non saprei,Mai,Ricreativa,Non hanno nessuna funzione,Mai,Essere considerata come uno svago,1,1,Sono diverse,Ho una fede religiosa ma non sono praticante,1,3,Si,1,1,Impotente,Sono due concetti differenti,No,Maschile,18-30,Laurea Triennale,Nord Italia,['Nessuna'],['Pochi intimi (una persona di fiducia)']
42,No,Non saprei,Mai,Ricreativa,Non hanno nessuna funzione,Mai,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Credo in una o più entità superiore/i,3,4,Si,2,1,Impotente,Sono concetti differenti a volte sovrapposti,Non saprei,Femminile,31-50,Laurea Triennale,Nord Italia,['Social network'],['Non ho una passione per le stelle']
43,Solo il sole (il segno),Sono due cose diverse,Mai,Ricreativa,Introspettiva,In età adulta,Essere considerata come uno svago,1,1,Non saprei,Non credo in nulla,1,5,Si,5,5,Più sicuro,Sono concetti differenti a volte sovrapposti,A volte,Maschile,18-30,Laurea Triennale,Nord Italia,"['Blog specializzati', ' Social network']",['Pochi intimi (una persona di fiducia)']
44,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Mai,Ricreativa,Ricreativa,Mai,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa e sono praticante,2,4,Non saprei,3,4,Non saprei,Sono concetti differenti a volte sovrapposti,Non saprei,Maschile,18-30,Diploma scuola superiore,Nord Italia,['Nessuna'],['I miei amici e le mie amiche']
45,Si,Condividono aspetti ma non sono la stessa cosa,Spesso,Introspettiva,Ricreativa,In età adolescenziale,Essere considerata un'importante ma personale visione del mondo,2,3,Sono diverse con aspetti comuni,Non credo in nulla,2,5,Non saprei,5,5,Più sicuro,Ho cercato adesso su google,A volte,Femminile,18-30,Laurea magistrale,Nord Italia,"['Blog specializzati', ' Social network']","['La mia famiglia', ' I miei amici e le mie amiche']"
46,Si,Non saprei,Regolarmente,Introspettiva,Ricreativa,In età adolescenziale,Essere considerata come un punto di vista da tenere in considerazione,3,1,Sono diverse,Ho una fede religiosa ma non sono praticante,3,4,Si,2,4,Mi è indifferente,Sono due concetti differenti,A volte,Femminile,18-30,Laurea Triennale,Nord Italia,['Social network'],['Pochi intimi (una persona di fiducia)']
47,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Ricreativa,Introspettiva,Fin da piccolo/a,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa e sono praticante,3,2,Si,3,2,Impotente,Sono due concetti differenti,Dipende,Femminile,18-30,Laurea magistrale,Nord Italia,"['Social network', ' Giornali']","['Nessuno', ' I miei amici e le mie amiche', ' I social']"
48,No,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Predittiva del futuro,Mai,Essere considerata come uno svago,1,1,Non saprei,Ho una fede religiosa e sono praticante,3,4,Si,2,1,Non saprei,Sono concetti differenti a volte sovrapposti,No,Femminile,<18,Diploma scuole medie,Nord Italia,['Social network'],['Pochi intimi (una persona di fiducia)']
49,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Mai,Ricreativa,Ricreativa,Mai,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa e sono praticante,1,4,Non saprei,3,3,Non saprei,Sono concetti differenti a volte sovrapposti,Non saprei,Maschile,18-30,Diploma scuola superiore,Nord Italia,"['Nessuna', ' Social network']",['I miei amici e le mie amiche']
50,Si,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Ricreativa,Introspettiva,In età adulta,Essere considerata come uno svago,2,1,Sono diverse,Credo in una o più entità superiore/i,1,4,Si,2,3,Impotente,Sono due concetti differenti,A volte,Femminile,18-30,Laurea Triennale,Nord Italia,"['Blog specializzati', ' Social network']",['Le mie amiche']
51,No,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Predittiva del futuro,Ricreativa,Mai,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse con aspetti comuni,Credo in una o più entità superiore/i,5,2,Si,4,5,Più sicuro,Sono concetti differenti a volte sovrapposti,Dipende,Femminile,18-30,Laurea magistrale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
52,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Mistica,Predittiva del futuro,Mai,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa ma non sono praticante,1,5,Si,2,3,Impotente,Sono concetti differenti a volte sovrapposti,No,Femminile,18-30,Laurea magistrale,Sud e Isole,['Social network'],['Non ho una passione per le stelle']
53,Solo il sole (il segno),Sono due cose diverse,Mai,Predittiva del futuro,Introspettiva,Mai,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa ma non sono praticante,3,3,Si,3,4,Più sicuro,Sono concetti differenti a volte sovrapposti,A volte,Maschile,18-30,Laurea Triennale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
54,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Mai,Ricreativa,Non hanno nessuna funzione,Mai,Essere considerata come uno svago,1,1,Sono la stessa cosa con punti di vista differenti,Non credo in nulla,1,3,No,3,2,Più sicuro,Sono concetti differenti a volte sovrapposti,Dipende,Maschile,18-30,Laurea magistrale,Nord Italia,['Televisione'],['Non ho una passione per le stelle']
55,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Predittiva del futuro,Mistica,Mai,Essere considerata un'importante ma personale visione del mondo,1,1,Sono diverse,Non credo in nulla,2,2,Si,3,3,Più sicuro,Sono due concetti differenti,No,Femminile,31-50,Laurea Triennale,Nord Italia,['Nessuna'],['Pochi intimi (una persona di fiducia)']
56,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Mai,Non hanno nessuna funzione,Non hanno nessuna funzione,In età adolescenziale,Essere considerata come uno svago,1,1,Sono diverse,Ho una fede religiosa e sono praticante,1,4,Si,1,1,Impotente,Sono concetti differenti a volte sovrapposti,A volte,Femminile,>50,Laurea Triennale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
57,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Spesso,Ricreativa,Introspettiva,In età adulta,Essere considerata come uno svago,1,1,Sono diverse,Ho una fede religiosa ma non sono praticante,1,4,Si,4,3,Più sicuro,Sono concetti differenti a volte sovrapposti,No,Femminile,18-30,Laurea Triennale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
58,No,Non saprei,Mai,Ricreativa,Non hanno nessuna funzione,Mai,Essere considerata un'importante ma personale visione del mondo,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa e sono praticante,2,4,Si,4,5,Non saprei,Non saprei,Non saprei,Maschile,18-30,Diploma scuola superiore,Nord Italia,['Nessuna'],['Pochi intimi (una persona di fiducia)']
59,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Mai,Non hanno nessuna funzione,Ricreativa,Mai,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Credo in una o più entità superiore/i,2,5,Si,2,2,Più sicuro,Sono concetti differenti a volte sovrapposti,No,Maschile,18-30,Laurea magistrale,Nord Italia,['Televisione'],['Non ho una passione per le stelle']
60,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Mai,Non hanno nessuna funzione,Non hanno nessuna funzione,Mai,Essere trascurata in quanto inutile (a volte dannosa),1,1,Sono diverse,Ho una fede religiosa ma non sono praticante,1,5,Si,1,1,Mi è indifferente,Sono due concetti differenti,Si,Femminile,18-30,Laurea magistrale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
61,No,Condividono aspetti ma non sono la stessa cosa,Mai,Non hanno nessuna funzione,Non hanno nessuna funzione,Mai,Essere trascurata in quanto inutile (a volte dannosa),1,1,Sono diverse con aspetti comuni,Non credo in nulla,1,3,Si,5,5,Più sicuro,Sono due concetti differenti,No,Maschile,18-30,Laurea magistrale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
62,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Mistica,Mai,Essere considerata un'importante ma personale visione del mondo,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa ma non sono praticante,5,3,Si,4,4,Più sicuro,Sono concetti differenti a volte sovrapposti,Dipende,Femminile,18-30,Diploma scuola superiore,Nord Italia,"['Televisione', ' Giornali']",['Non ho una passione per le stelle']
63,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Ricreativa,Mistica,Mai,Essere considerata come uno svago,1,1,Sono diverse,Credo in una o più entità superiore/i,1,3,Si,2,2,Mi è indifferente,Sono concetti differenti a volte sovrapposti,Dipende,Femminile,18-30,Laurea Triennale,Nord Italia,['Giornali'],['Non ho una passione per le stelle']
64,Solo il sole (il segno),Sono due cose diverse,Quando mi capita,Ricreativa,Predittiva del futuro,Mai,Essere considerata come un punto di vista da tenere in considerazione,2,2,Sono diverse,Ho una fede religiosa ma non sono praticante,3,4,Si,5,5,Più sicuro,Sono concetti differenti a volte sovrapposti,A volte,Femminile,31-50,Laurea magistrale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
65,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Ricreativa,Non hanno nessuna funzione,Mai,Essere considerata come uno svago,1,1,Non saprei,Non credo in nulla,1,4,Si,1,1,Mi è indifferente,Sono concetti differenti a volte sovrapposti,No,Femminile,>50,Diploma scuola superiore,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
66,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Mai,Non hanno nessuna funzione,Non hanno nessuna funzione,Mai,Essere considerata come uno svago,1,1,Sono diverse,Ho una fede religiosa ma non sono praticante,1,5,Si,2,2,Impotente,Sono concetti differenti a volte sovrapposti,A volte,Femminile,>50,Diploma scuola superiore,Nord Italia,['Giornali'],['Nessuno']
67,No,Condividono aspetti ma non sono la stessa cosa,Mai,Ricreativa,Introspettiva,Mai,Essere considerata come uno svago,1,1,Sono visioni mutualmente esclusive,Credo in una o più entità superiore/i,3,3,Si,1,1,Impotente,Sono concetti differenti a volte sovrapposti,No,Femminile,>50,Laurea magistrale,Nord Italia,['Giornali'],['Non ho una passione per le stelle']
68,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Spesso,Ricreativa,Non hanno nessuna funzione,Fin da piccolo/a,Essere considerata come uno svago,1,1,Sono diverse,Ho una fede religiosa e sono praticante,1,4,Si,5,5,Più sicuro,Sono concetti differenti a volte sovrapposti,Non saprei,Maschile,18-30,Laurea Triennale,Centro italia,['Social network'],['Non ho una passione per le stelle']
69,No,Condividono aspetti ma non sono la stessa cosa,Mai,Ricreativa,Ricreativa,Mai,Essere considerata come uno svago,1,1,Non saprei,Non credo in nulla,1,5,Si,1,1,Non saprei,Non saprei,No,Femminile,<18,Diploma scuole medie,Nord Italia,"['Social network', ' Televisione']",['Non ho una passione per le stelle']
70,Si,Condividono aspetti ma non sono la stessa cosa,Spesso,Ricreativa,Mistica,In età adolescenziale,Essere considerata come uno svago,3,2,Sono diverse,Ho una fede religiosa ma non sono praticante,2,4,Si,3,3,Non saprei,Sono concetti differenti a volte sovrapposti,A volte,Femminile,31-50,Laurea magistrale,Nord Italia,"['Blog specializzati', ' Giornali']",['I miei amici e le mie amiche']
71,Sole e ascendente,Non saprei,Quando mi capita,Ricreativa,Non hanno nessuna funzione,Mai,Essere considerata come uno svago,1,1,Sono diverse,Non credo in nulla,1,5,Si,5,5,Più sicuro,Sono concetti differenti a volte sovrapposti,A volte,Femminile,18-30,Diploma scuola superiore,Nord Italia,"['Social network', ' Televisione', ' Giornali']",['Non ho una passione per le stelle']
